filename,primary_label
synthetic_train_audio/bafcur1/73cf773283464da08df93ce96f7ff318.wav,bafcur1
synthetic_train_audio/bafcur1/019f5c20a2a54a21b7e6eb139c045b9c.wav,bafcur1
synthetic_train_audio/bafcur1/1b27299bf37b494cb83c97ae91a2cd75.wav,bafcur1
synthetic_train_audio/bafcur1/4a8a6723d27e4c3fb60a2c5bbe74aa0d.wav,bafcur1
synthetic_train_audio/bafcur1/f0699aa1498e4b7a9bf3045aa3b47224.wav,bafcur1
synthetic_train_audio/bafcur1/be35336cca5148bbbe888b66721e6aea.wav,bafcur1
synthetic_train_audio/bafcur1/3ce39e91ac5e4b2bbe17857ef43e10e7.wav,bafcur1
synthetic_train_audio/bafcur1/79619143c8004b0eb3f51d1354fcd034.wav,bafcur1
synthetic_train_audio/bcwfin2/5ba8dd362cb845679ad28798bfa3367f.wav,bcwfin2
synthetic_train_audio/bcwfin2/36615a06bcc243e4823da4926ca1f140.wav,bcwfin2
synthetic_train_audio/bcwfin2/6c636f3fa77b4ff0801fe40661991d33.wav,bcwfin2
synthetic_train_audio/bcwfin2/acb18a873b6e44d5908cfcc9d245e13b.wav,bcwfin2
synthetic_train_audio/bcwfin2/0e1090fa396a49c58f09253958f25369.wav,bcwfin2
synthetic_train_audio/blchaw1/f55f914d30dc401c9a537b794787c629.wav,blchaw1
synthetic_train_audio/blchaw1/303f85b531de4868b947283f69b18751.wav,blchaw1
synthetic_train_audio/blchaw1/aef7383b1e2449e88853b0ac2504a7d7.wav,blchaw1
synthetic_train_audio/blchaw1/002f4358c5644cab976dff4ad60300f4.wav,blchaw1
synthetic_train_audio/cibspi1/5b9407970f6a4699960af2c4fca6c85c.wav,cibspi1
synthetic_train_audio/cibspi1/df45018bdb504452964597f681268463.wav,cibspi1
synthetic_train_audio/cibspi1/ab27e7b7b7c74763965f286af8af624d.wav,cibspi1
synthetic_train_audio/cibspi1/cb347e57d7874a48b6697f163f2c7fbc.wav,cibspi1
synthetic_train_audio/cibspi1/8aa9715191524d519ef71290052d5f14.wav,cibspi1
synthetic_train_audio/cibspi1/744ffc4cd2b04b46aa2b067a72da12ff.wav,cibspi1
synthetic_train_audio/cibspi1/934d32a7b3364216aabf3ef0b0839809.wav,cibspi1
synthetic_train_audio/cibspi1/15631ec87c4440058d38b3cc46321ead.wav,cibspi1
synthetic_train_audio/cibspi1/3cd1c7ca1dec4bdbb62aee58b44fd951.wav,cibspi1
synthetic_train_audio/cibspi1/9ffe48805ef3451fad26c6b4c668fd49.wav,cibspi1
synthetic_train_audio/cibspi1/af07b30e8a81484aad53720e8e1c9d6d.wav,cibspi1
synthetic_train_audio/cibspi1/0490396ca9b24a0d896f7121d6859118.wav,cibspi1
synthetic_train_audio/cibspi1/67fe070fee444e50b74946b87fe28787.wav,cibspi1
synthetic_train_audio/cibspi1/15fb490f639443ec85e109414015431e.wav,cibspi1
synthetic_train_audio/cibspi1/6e9540bd272c4048a307c4765498aea4.wav,cibspi1
synthetic_train_audio/cibspi1/2ab37b5711ea4f56a3df9cc91e39c79f.wav,cibspi1
synthetic_train_audio/cibspi1/e2376691298b4a2aa25b32aae2811a9f.wav,cibspi1
synthetic_train_audio/dwatin1/2234af6a2e584fb2ab794f0e9c9a1c6f.wav,dwatin1
synthetic_train_audio/dwatin1/991cecb92e6141f780747311878059a7.wav,dwatin1
synthetic_train_audio/dwatin1/6bdd6b25ec654f849a7d9f68041cddb2.wav,dwatin1
synthetic_train_audio/dwatin1/a6f98f0dfa3c4652864661917782bfd7.wav,dwatin1
synthetic_train_audio/dwatin1/7515a9112d7440ee851a30da9429e29e.wav,dwatin1
synthetic_train_audio/dwatin1/334e1b3ad97542c7baf0306c28ac6325.wav,dwatin1
synthetic_train_audio/dwatin1/73aad034968b4ad5973662bad762e09a.wav,dwatin1
synthetic_train_audio/dwatin1/39b57ecf40c84719880b226617379c03.wav,dwatin1
synthetic_train_audio/dwatin1/0c80cdd2fa3749ffac1b52713fa6d931.wav,dwatin1
synthetic_train_audio/dwatin1/60a4c62b1d53443eb75ee434262db958.wav,dwatin1
synthetic_train_audio/dwatin1/d156ed5f9f0d44bb8d00f47ee790060b.wav,dwatin1
synthetic_train_audio/dwatin1/a9486df5a9a945adaa3642dcbd99de95.wav,dwatin1
synthetic_train_audio/dwatin1/017bacd179a64f4dba2e84d3fef15c89.wav,dwatin1
synthetic_train_audio/dwatin1/c20a46c4f62b4e20a31fd8dbab8c84ae.wav,dwatin1
synthetic_train_audio/dwatin1/8335c8d75e6d42cb9589ac14d9e0f8bb.wav,dwatin1
synthetic_train_audio/dwatin1/71c9778f24df45d08e865f0a9454a601.wav,dwatin1
synthetic_train_audio/dwatin1/bb461b55dcae47d5acfe9410a7ad8bb5.wav,dwatin1
synthetic_train_audio/dwatin1/a9acb01879f249e7ae4a60b417532035.wav,dwatin1
synthetic_train_audio/dwatin1/7f41b45d854941a7b22fc912c4ee486c.wav,dwatin1
synthetic_train_audio/dwatin1/b823e673a1bf4c3e8b799df0f2340664.wav,dwatin1
synthetic_train_audio/dwatin1/05c4cbce63a349d8b6127f31f88f13a6.wav,dwatin1
synthetic_train_audio/dwatin1/fd78f3d62afb4b89b8c394ec90439169.wav,dwatin1
synthetic_train_audio/dwatin1/b601c3eded67449a9a0950fd77e2a38c.wav,dwatin1
synthetic_train_audio/dwatin1/8a9f341a40094268a3b53ff41fb98fac.wav,dwatin1
synthetic_train_audio/dwatin1/0daddc2fcaa24951bfb6cb2bae4fddb2.wav,dwatin1
synthetic_train_audio/dwatin1/591d0fbeb8b04157acde73b1ef6e1fb2.wav,dwatin1
synthetic_train_audio/dwatin1/4025b94fe4f144e8abdbc95ee846bee5.wav,dwatin1
synthetic_train_audio/dwatin1/a0cd2c8e760b4e958ee2ed39b7dea1bf.wav,dwatin1
synthetic_train_audio/dwatin1/6e8f33fa90b7485ab39ccb36c624e9be.wav,dwatin1
synthetic_train_audio/dwatin1/08d6859a21f04c27a3efa43ff4297a0e.wav,dwatin1
synthetic_train_audio/dwatin1/25df09d8a94e458ba428eb99a84ba861.wav,dwatin1
synthetic_train_audio/dwatin1/d8b266f636744324a33a323454b8cea7.wav,dwatin1
synthetic_train_audio/lesgrf1/df5f41d9e76c424996e2783792723428.wav,lesgrf1
synthetic_train_audio/lesgrf1/3dfab0c7c4604e98b76fe01d2220b4c9.wav,lesgrf1
synthetic_train_audio/lesgrf1/75e062f568904bf5aee99999e244b74e.wav,lesgrf1
synthetic_train_audio/lesgrf1/c04e197544e149da9b5e0df42501878f.wav,lesgrf1
synthetic_train_audio/lesgrf1/c731b8b41d0b428ba3c2a27b436f29c9.wav,lesgrf1
synthetic_train_audio/lesgrf1/90f36ba912e4462cbfb9ab23275732dd.wav,lesgrf1
synthetic_train_audio/lesgrf1/2932361cd3434ce5bff12ce52adcbf90.wav,lesgrf1
synthetic_train_audio/lesgrf1/660c53c4ff4d466187827e707769b22e.wav,lesgrf1
synthetic_train_audio/lesgrf1/972f809cd5f7495db78e75b2b1d9ee8b.wav,lesgrf1
synthetic_train_audio/lesgrf1/40596082a3fe4480b3a2a4fda4f798d8.wav,lesgrf1
synthetic_train_audio/lesgrf1/37dcbf99224642d7a0fe423c08aa1d53.wav,lesgrf1
synthetic_train_audio/lesgrf1/8b855c8a755941b489bf747dc49f9a41.wav,lesgrf1
synthetic_train_audio/lesgrf1/d398c0dbf9d140b68fac588a6a2f6743.wav,lesgrf1
synthetic_train_audio/lesgrf1/11f05782e33544cb93fd366658ea0029.wav,lesgrf1
synthetic_train_audio/lesgrf1/d43d2f64b90047a9ac560cc25efbb4be.wav,lesgrf1
synthetic_train_audio/lesgrf1/819b2218d61842aa9d562882567bfba8.wav,lesgrf1
synthetic_train_audio/lesgrf1/75c3baaac44f4a04b5ce04011f62c09c.wav,lesgrf1
synthetic_train_audio/lesgrf1/193ea98713454606b3f3cee8a65cedcf.wav,lesgrf1
